"Design value to translate",翻訳する設計値
"Send Product To Friend",友達に製品を送る
"Stock Alert",ストックアラート
"Product Price Alert",製品価格アラート
"Additional Templates",追加テンプレート
"Sync additional campaigns as templates",テンプレートとして追加のキャンペーンを同期
"Data Fields",データフィールド
"Select multiple statuses by pressing Ctrl button while selecting",選択中にCtrlボタンを押して複数のステータスを選択する
"Data fields calculation with status",ステータスでデータフィールドの計算
"Select your brand attribute. By default, the 'Manufacturer' attribute will be used.",ブランド属性を選択します。デフォルトでは、'Manufacturer'属性が使用されます。
"Brand Attribute",ブランド属性
Tracking,トラッキング
"ROI Tracking",ROIトラッキング
"Page Tracking",ページトラッキング
"Script version",スクリプトバージョン
"Web Behavior Tracking Profile Id",ウェブ行動追跡プロファイルID
Consent,同意
"Enable this is you want to import consent insight data when customers subscribe via the newsletter signup form, registration form or during checkout.",これを有効にすると、顧客がニュースレターのサインアップフォーム、登録フォーム、またはチェックアウト時に購読した際の同意インサイトデータをインポートすることができます。
"Import subscribers with their consent information",同意情報を持つ購読者をインポートする
"Please provide the consent text that is currently displayed to your customers when they subscribe to your newsletter (i.e. via the newsletter signup form)",お客様がニュースレターに登録した際に表示される同意文を入力してください。
"Consent text provided to your subscribers above the newsletter signup form",ニュースレターのサインアップフォームの上の購読者に提供された同意のテキスト
"If different from above, provide the text that is displayed on your registration and checkout form to get consent from your customers and guests. If provided, this text will also be displayed in the customer's newsletter subscription page.",上記と異なる場合は、お客様やゲストから同意を得るための登録フォームやチェックアウトフォームに表示されるテキストを提供してください。提供された場合、このテキストは顧客のニュースレター購読ページにも表示されます。
"Consent text provided on registration, account dashboard and checkout",登録、アカウントダッシュボード、チェックアウトで提供される同意のテキスト
"Transactional Data",トランザクションデータ
"Import Order With Status",ステータスのあるインポートオーダー
"Select custom order attributes that you want to import with your order data. Select multiple by pressing Ctrl button while selecting.",注文データと一緒にインポートするカスタム注文属性を選択します。選択中にCtrlボタンを押して複数選択します。
"Order Custom Attributes",注文カスタム属性
"Selected product attribute(s) will be imported in order and catalog syncs.",選択した製品属性は、注文とカタログの同期でインポートされます。
"Include Product Custom Options In Order Sync",注文同期に製品カスタムオプションを含める
"Enable this if you have a checkout process that allows the visitor to
                            enter their email address during the checkout, but it does not update quote table instantly.","チェックアウトプロセスで、訪問者が次のようなことができるようにする場合に有効にします。
                            チェックアウト時にメールアドレスを入力しても、即座に見積表を更新することはできません。"
